-7750580.165 -7613507.165
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-89563.487 -88552.487
8777.918 -70428.082
No Collision
78934.352 67273.352
-443621.951 -291167.951
No Collision
-126768.523 -199907.523
No Collision
No Collision
340023.533 218749.533
15398.488 45889.488
-187850.183 -70036.183
No Collision
No Collision
No Collision
41791.650 51038.650
No Collision
No Collision
No Collision
No Collision
38653.220 45601.220
316409.032 411172.032
92821.206 72104.206
No Collision
-74610.512 25520.488
No Collision
No Collision
-139817.574 -198385.574
21569.388 -147733.612
No Collision
-326532.413 -425467.413
No Collision
546732.621 628070.621
No Collision
-107345.074 12559.926
No Collision
-87581.766 -82627.766
937157.378 999058.378
No Collision
109974.077 79095.077
No Collision
-19924.987 -26961.987
No Collision
-80351.071 -66279.071
No Collision
-167487.673 -200527.673
No Collision
-192370.698 -114737.698
No Collision
-242593.295 -174743.295
48695.457 44093.457
-46599.529 53065.471
No Collision
37911.926 -110690.074
53904.521 -42493.479
No Collision
No Collision
2434388.166 2314408.166
75029.588 148455.588
No Collision
-110081.618 -77814.618
No Collision
72566.392 62863.392
-261140.882 -132279.882
No Collision
-51702.152 -38598.152
No Collision
-1114918.045 -1257107.045
No Collision
No Collision
106275.031 93871.031
No Collision
No Collision
7941.293 120007.293
-95662.598 -13989.598
No Collision
No Collision
No Collision
No Collision
No Collision
58645.602 60282.602
33930.415 -22566.585
-195075.728 -299206.728
30338.944 64637.944
No Collision
-31124.319 39716.681
No Collision
No Collision
26184886.260 26260916.260
13135.433 -63363.567
72054.891 65644.891
No Collision
-146637.166 -117853.166
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-22909.985 -52458.985
No Collision
-13411.193 66635.807
240047.107 135879.107
No Collision
1552.122 -91586.878
No Collision
No Collision
No Collision
-43958.320 -69496.320
55648.678 164408.678
-25487.600 52473.400
No Collision
-26602.443 -143407.443
No Collision
No Collision
54427.364 117665.364
-264693.309 -209876.309
72437.532 -12259.468
-57779.319 -164454.319
-118955.517 -221004.517
50217.917 51693.917
No Collision
No Collision
44953.342 -92164.658
No Collision
No Collision
-140479.350 -100759.350
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
853766.252 973464.252
No Collision
1667141.040 1811515.040
-197961.266 -62874.266
No Collision
No Collision
No Collision
No Collision
13817.948 -71579.052
109266.514 -37057.486
92316.951 45389.951
-84708.652 -89199.652
-65937.421 -42284.421
-85218.637 -7318.637
-1905952.095 -2013499.095
No Collision
26149.091 -111212.909
-36141.492 -1830.492
No Collision
50527.616 -42760.384
No Collision
No Collision
No Collision
-339193.324 -440184.324
No Collision
-108364.062 -24617.062
No Collision
No Collision
-89402.769 -35476.769
-21757.170 49158.830
-18301.939 30586.061
-143885.680 -129197.680
-31322.445 50698.555
52966.432 -1989.568
-146657.483 -54206.483
No Collision
-183547.635 -244245.635
No Collision
-19514.351 -31863.351
No Collision
391215.208 294492.208
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-266835.931 -108826.931
139669.705 289493.705
No Collision
-51141.556 -13499.556
-99825.557 -42003.557
No Collision
-317682.275 -187442.275
122966.886 150182.886
No Collision
-152707.738 -63939.738
No Collision
58557.824 87896.824
No Collision
No Collision
No Collision
No Collision
No Collision
-80578.379 -71458.379
7370.230 -34902.770
No Collision
No Collision
No Collision
-46232.917 -31103.917
-10492.086 159036.914
12788.285 -42796.715
No Collision
No Collision
No Collision
No Collision
-5687.684 -42578.684
No Collision
No Collision
No Collision
-83481.896 -54429.896
83373.115 88697.115
No Collision
No Collision
887689.161 945819.161
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
76924.661 99957.661
-234564.677 -388984.677
61064.195 5666.195
-44664.658 -45202.658
No Collision
No Collision
37225.163 1568.163
No Collision
No Collision
-110159.575 15444.425
No Collision
No Collision
No Collision
79682.368 90212.368
72730.405 106742.405
No Collision
-2124.178 -56540.178
-589.574 -29323.574
-77628.840 -24634.840
30722.328 57110.328
No Collision
-22129.142 31509.858
178991.149 34172.149
-84584.004 -60211.004
99540.815 35196.815
46123.457 102867.457
130508.126 -3005.874
No Collision
-72068.763 -91230.763
733293.292 592687.292
-109297.780 26123.220
No Collision
744885.844 771535.844
No Collision
No Collision
-183068.007 -35865.007
32240.958 90265.958
379391.464 341844.464
No Collision
No Collision
-1247780.962 -1339059.962
39916.256 171560.256
No Collision
No Collision
-208601.700 -56453.700
350306.351 341623.351
No Collision
No Collision
58395.941 -20300.059
No Collision
-85070.142 89485.858
No Collision
No Collision
1151083.037 965054.037
No Collision
-336644.551 -292746.551
No Collision
33492.087 19610.087
-231518.085 -228154.085
No Collision
-98743.405 -143216.405
No Collision
-310096.979 -264584.979
No Collision
51147.646 172099.646
26464.569 -60080.431
117195.063 121039.063
No Collision
27451.238 -5977.762
129459.769 157970.769
No Collision
No Collision
154778.932 101108.932
109035.179 42557.179
No Collision
No Collision
26620.733 88550.733
No Collision
No Collision
No Collision
3666.304 162977.304
413075.526 457085.526
-109076.405 -10850.405
26831.818 -110210.182
No Collision
No Collision
-156842.750 -260990.750
22409.827 53410.827
No Collision
No Collision
No Collision
No Collision
48226.552 26034.552
No Collision
-121295.312 38039.688
-4983.585 -109837.585
285473.611 235525.611
-63981.648 -110595.648
20271.903 -51107.097
No Collision
91263.197 93215.197
80857.104 60870.104
67920.090 -37922.910
5063.791 -19950.209
No Collision
-73478.905 -4990.905
-19317.213 -103308.213
62893.156 68834.156
No Collision
No Collision
No Collision
No Collision
29270.689 27118.689
No Collision
28391.244 58175.244
-65059.964 -46680.964
4523.039 4515.039
No Collision
No Collision
-62209.003 -143433.003
90009.678 95801.678
No Collision
No Collision
No Collision
No Collision
22649.908 6181.908
No Collision
-7308.317 100093.683
No Collision
-134152.016 14308.984
-37126.279 -72620.279
-968580.096 -994462.096
