-4254.502 69687.498
64497.952 72425.952
-8943199.980 -8885962.980
340962.545 493716.545
No Collision
No Collision
-186217.467 -97991.467
No Collision
No Collision
-461695.867 -632826.867
-9933.720 3595.280
No Collision
No Collision
No Collision
111792.262 59967.262
No Collision
No Collision
No Collision
No Collision
No Collision
49031.593 45524.593
-33156.735 47437.265
-117476.541 -84897.541
No Collision
-99212.877 -861.877
No Collision
41764.520 -14325.480
No Collision
11610.565 124637.565
No Collision
No Collision
-18893.890 -55077.890
No Collision
94460.108 130294.108
-678334.092 -596951.092
1982954.677 2034028.677
75962.215 -78248.785
243349.444 157119.444
119257.242 80254.242
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-136887.129 -287622.129
No Collision
No Collision
No Collision
249197.184 114223.184
256007.643 217972.643
No Collision
73857.512 79013.512
No Collision
116842.418 202550.418
No Collision
No Collision
No Collision
270082.576 143648.576
172808.284 62481.284
-3440843.600 -3539250.600
27412.672 7513.672
No Collision
No Collision
-4719.619 45912.381
-646225.408 -562489.408
-29371.176 98656.824
No Collision
No Collision
No Collision
No Collision
-27167.757 -35706.757
-171062.796 -122291.796
940996.890 1044398.890
-31870.132 -45541.132
-227820.646 -222073.646
No Collision
No Collision
-236344.290 -271335.290
No Collision
No Collision
1081250.807 974277.807
-52461.580 27327.420
No Collision
-76500.659 -27806.659
-1114301.113 -968553.113
-70879.765 -43560.765
-1906658.934 -2038916.934
32863.570 71783.570
24150.964 4819.964
76270.066 164017.066
141977.870 124100.870
44702.105 39014.105
No Collision
No Collision
-204056.004 -240369.004
-789802.320 -920879.320
510564.105 357710.105
No Collision
No Collision
-191388.205 -245098.205
No Collision
-34304.391 77461.609
215985.304 307736.304
205621.512 201126.512
121508.720 37197.720
-57037.178 -31877.178
-104426.758 -116329.758
No Collision
No Collision
-25773.431 11138.569
-43730.423 -36908.423
No Collision
No Collision
No Collision
No Collision
571891.576 636120.576
No Collision
No Collision
-128839.919 -21743.919
No Collision
-93314.683 -3183.683
195727.431 331044.431
No Collision
No Collision
-41899.747 54751.253
No Collision
45912.191 61814.191
No Collision
-644647.732 -776817.732
No Collision
69050.246 -29419.754
No Collision
No Collision
5451.583 -43835.417
68228.830 24252.830
No Collision
No Collision
No Collision
-21517.101 75912.899
-124750.164 -76502.164
8849.339 6525.339
-450056.557 -454158.557
No Collision
No Collision
No Collision
33810.335 78225.335
No Collision
No Collision
No Collision
No Collision
No Collision
183401.281 301659.281
-97526.374 -81662.374
97647.709 -44435.291
No Collision
-50597.767 -135890.767
-75112.210 30214.790
-75421.973 38792.027
No Collision
No Collision
No Collision
No Collision
-53291.480 -51870.480
20540.302 56164.302
No Collision
No Collision
-17886.182 -22605.182
No Collision
No Collision
No Collision
70466.435 73485.435
No Collision
-111199.277 29173.723
No Collision
-40612.540 -138067.540
No Collision
No Collision
No Collision
20371.419 -26247.581
-102693.347 57257.653
No Collision
-21848.159 117415.841
No Collision
-9974.827 62604.173
37370.806 31365.806
No Collision
No Collision
-56396.153 -109992.153
No Collision
-4866.970 -73507.970
249167.277 302466.277
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-29748.240 -8287.240
-350890.962 -161691.962
No Collision
667889.294 797087.294
No Collision
83690.593 6878.593
No Collision
-143953.780 -174673.780
193339.895 168544.895
18040.990 3686.990
-1076989.611 -987823.611
-604706.795 -447880.795
-269620.539 -146273.539
No Collision
No Collision
76427.465 68779.465
43138.338 54542.338
No Collision
-3190795.334 -3242213.334
No Collision
No Collision
-44650.564 -64025.564
45275.948 26115.948
-51970.705 -118047.705
2939432.376 3039810.376
No Collision
No Collision
37434.158 -22993.842
No Collision
No Collision
No Collision
-33660.706 -30443.706
No Collision
26331.151 -108640.849
No Collision
No Collision
-441038.220 -465362.220
2868352.853 2957312.853
57578.348 -110320.652
No Collision
238799.237 372869.237
No Collision
45161.427 -37185.573
-619268.921 -515872.921
No Collision
6337.507 113736.507
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
662425.478 711052.478
No Collision
-153753.048 -255413.048
-96426.413 -50767.413
-14911714.488 -14944947.488
-1079.175 -89122.175
No Collision
71887.342 79074.342
No Collision
-37304.002 -9351.002
No Collision
No Collision
No Collision
No Collision
No Collision
-65018.637 -104451.637
No Collision
51978.630 126294.630
No Collision
201706.133 139047.133
117590.880 171126.880
No Collision
No Collision
No Collision
6837.484 -127118.516
No Collision
No Collision
No Collision
No Collision
No Collision
73363.166 -12008.834
-137858.552 -237970.552
-20926.735 -1890.735
No Collision
-95893.053 -80947.053
-661758.595 -755347.595
2732507.623 2800803.623
70426.958 1376.958
No Collision
No Collision
No Collision
No Collision
-842075.449 -661132.449
No Collision
No Collision
-227443.359 -44356.359
No Collision
No Collision
No Collision
43740.057 85741.057
-50838.027 -78983.027
200512.642 44188.642
No Collision
No Collision
No Collision
-138498.582 -37534.582
37040.167 46079.167
92750.881 -70707.119
-211601.260 -127211.260
No Collision
No Collision
No Collision
No Collision
1556242.320 1608295.320
-64832.239 -77460.239
-96842.484 -52104.484
No Collision
No Collision
No Collision
No Collision
7412590.336 7296304.336
No Collision
No Collision
No Collision
-59807.338 -6260.338
No Collision
No Collision
83463.257 89246.257
41336.430 -11970.570
No Collision
No Collision
No Collision
No Collision
No Collision
-23766.119 10474.881
-126177.372 -144450.372
-320597.372 -285711.372
374585.651 323603.651
No Collision
No Collision
-26197.232 -17881.232
-1657185.508 -1839327.508
No Collision
-81597.309 -196620.309
2583747.670 2619916.670
47711.555 124323.555
No Collision
365337.698 494716.698
-135836.726 -85934.726
No Collision
5244303.627 5180723.627
-3144.712 27258.288
-75696.665 -71747.665
No Collision
No Collision
-138564.131 -49237.131
No Collision
No Collision
No Collision
307938.241 248118.241
No Collision
No Collision
No Collision
-49748.994 -7794.994
No Collision
No Collision
232191.658 297237.658
79650.860 9649.860
-33076.170 -76078.170
98954.083 105433.083
No Collision
-134022.113 -7588.113
1177438.160 1272141.160
No Collision
201611.608 381956.608
No Collision
No Collision
296903.924 229361.924
No Collision
No Collision
No Collision
No Collision
No Collision
No Collision
-184788.365 -133656.365
No Collision
No Collision
-76129.429 -105850.429
No Collision
80267.773 128382.773
38282.766 -41797.234
-65084.864 12397.136
No Collision
No Collision
-58034.110 -164206.110
319475.546 259647.546
No Collision
No Collision
-10457.382 4744.618
-60033.755 -46243.755
88814.564 35730.564
551026.610 666003.610
No Collision
No Collision
-80867.569 -271617.569
No Collision
No Collision
-303030.085 -200906.085
No Collision
No Collision
No Collision
No Collision
No Collision
78279.983 82070.983
130815.475 34262.475
No Collision
75555.752 -35480.248
49920.963 -66036.037
-81023.351 77120.649
No Collision
-44703.297 -11695.297
No Collision
No Collision
-53264.030 26130.970
42043.010 -74531.990
No Collision
26499.487 1131.487
No Collision
-113674.897 750.103
No Collision
104142.209 128753.209
No Collision
No Collision
29627.212 80038.212
No Collision
No Collision
23383.237 -39872.763
103885.128 -39782.872
85326.854 55334.854
242818.550 253326.550
No Collision
-55097.861 7826.139
131085.931 233120.931
36297.926 158394.926
-156591.410 -269708.410
No Collision
No Collision
No Collision
No Collision
75193.925 78632.925
No Collision
75130.065 68720.065
No Collision
No Collision
6548.174 -3533.826
No Collision
106524.369 170668.369
No Collision
No Collision
1518722.427 1622319.427
No Collision
No Collision
No Collision
No Collision
12832.029 47248.029
No Collision
68069.083 93364.083
234939.693 136995.693
No Collision
No Collision
70356.027 59202.027
No Collision
68204.588 -708.412
No Collision
No Collision
No Collision
-928921.129 -1013580.129
-78210.033 32993.967
-927499.679 -1053395.679
No Collision
No Collision
-17539.043 -94497.043
No Collision
207704.471 374405.471
No Collision
No Collision
No Collision
No Collision
19588.493 -159399.507
No Collision
81245.358 12066.358
-132493.189 -93511.189
-9477.384 3709.616
123904.970 10747.970
-1051272.059 -940758.059
-8212863.551 -8346015.551
72733.446 46897.446
-148583.298 -66859.298
No Collision
50419.907 11458.907
No Collision
22611.913 62693.913
No Collision
No Collision
244699.654 342707.654
-3463031.905 -3437737.905
-154155.298 -69607.298
No Collision
-55047.348 -178588.348
29396.565 -62443.435
-1350.855 13824.145
725895.437 587010.437
No Collision
-42426.216 94321.784
76146.281 17374.281
-180960.778 -252012.778
No Collision
-524507.909 -660833.909
-36261.255 49963.745
-240091.892 -130628.892
No Collision
No Collision
No Collision
-71498.589 -30755.589
65443.743 52543.743
No Collision
No Collision
No Collision
17323.300 64128.300
No Collision
No Collision
75284.316 118868.316
No Collision
-100412.283 -196486.283
No Collision
97847.019 -48445.981
No Collision
No Collision
89136.950 46970.950
62119.761 149314.761
No Collision
116598.402 139297.402
No Collision
No Collision
No Collision
No Collision
-21961.585 -116636.585
